,source,target,weight
237,P1191,P1200,0.778181
238,P1192,P1200,0.74812625
239,P1193,P1200,0.765166666666667
240,P1076,P1203,0.829316666666667
241,P1124,P1203,0.759894468085107
242,P1133,P1203,0.8165516
243,P1155,P1203,0.767443333333333
244,P1164,P1203,0.782201111111111
245,P1165,P1203,0.805812857142857
246,P1185,P1203,0.806609787234043
247,P1192,P1203,0.844418333333333
248,P1193,P1203,0.82581625
249,P1200,P1203,0.83266431372549
250,P1025,P1207,0.753016
251,P1076,P1207,0.746850909090909
252,P1108,P1207,0.760495555555555
253,P1115,P1207,0.785194516129032
254,P1124,P1207,0.759594680851064
255,P1133,P1207,0.791454528301887
256,P1155,P1207,0.790075454545455
257,P1164,P1207,0.768241428571429
258,P1165,P1207,0.788456
259,P1182,P1207,0.747805111111111
260,P1185,P1207,0.75382347826087
261,P1192,P1207,0.752992222222222
262,P1200,P1207,0.7806884
263,P1203,P1207,0.752620638297872
264,P1029,P1210,0.743969268292683
265,P1056,P1210,0.780827142857143
266,P1067,P1210,0.815096666666667
267,P1094,P1210,0.792355714285715
268,P1108,P1210,0.796527142857143
269,P1111,P1210,0.769028205128205
270,P1129,P1210,0.744805161290323
271,P1133,P1210,0.779741509433962
272,P1149,P1210,0.778097777777778
273,P1155,P1210,0.774206
274,P1164,P1210,0.805904347826087
275,P1182,P1210,0.7972144
276,P1185,P1210,0.768209545454545
277,P1191,P1210,0.760255384615385
278,P1192,P1210,0.787775
279,P1193,P1210,0.782586363636364
280,P1203,P1210,0.744319166666667
281,P1207,P1210,0.786275
282,P1006,P1214,0.778372608695652
283,P1029,P1214,0.769873720930233
284,P1056,P1214,0.844496666666667
285,P1067,P1214,0.82089
286,P1076,P1214,0.787227777777778
287,P1088,P1214,0.7437475
288,P1094,P1214,0.800901176470588
289,P1108,P1214,0.755850303030303
290,P1111,P1214,0.791335483870968
291,P1115,P1214,0.775681111111111
292,P1120,P1214,0.761765609756098
293,P1123,P1214,0.754319655172414
294,P1124,P1214,0.759724594594595
295,P1129,P1214,0.76139875
296,P1133,P1214,0.772593265306123
297,P1135,P1214,0.74746
298,P1149,P1214,0.77509625
299,P1155,P1214,0.829994615384615
300,P1164,P1214,0.783152222222223
301,P1182,P1214,0.802208113207547
302,P1185,P1214,0.785660930232558
303,P1192,P1214,0.780559230769231
304,P1198,P1214,0.7615715
305,P1200,P1214,0.751244814814815
306,P1207,P1214,0.783795510204081
307,P1210,P1214,0.822997636363637
308,P1011,P1218,0.786338
309,P1025,P1218,0.770493125
310,P1106,P1218,0.754794
311,P1108,P1218,0.76035
312,P1111,P1218,0.76243575
313,P1123,P1218,0.74808
